1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
WBANNO,UTC_DATE,UTC_TIME,LST_DATE,LST_TIME,CRX_VN,LONGITUDE,LATITUDE,T_CALC,T_HR_AVG,T_MAX,T_MIN,P_CALC,SOLARAD,SOLARAD_FLAG,SOLARAD_MAX,SOLARAD_MAX_FLAG,SOLARAD_MIN,SOLARAD_MIN_FLAG,SUR_TEMP_TYPE,SUR_TEMP,SUR_TEMP_FLAG,SUR_TEMP_MAX,SUR_TEMP_MAX_FLAG,SUR_TEMP_MIN,SUR_TEMP_MIN_FLAG,RH_HR_AVG,RH_HR_AVG_FLAG,SOIL_MOISTURE_5,SOIL_MOISTURE_10,SOIL_MOISTURE_20,SOIL_MOISTURE_50,SOIL_MOISTURE_100,SOIL_TEMP_5,SOIL_TEMP_10,SOIL_TEMP_20,SOIL_TEMP_50,SOIL_TEMP_100
XXXXX,YYYYMMDD,HHmm,YYYYMMDD,HHmm,XXXXXX,Decimal_degrees,Decimal_degrees,Celsius,Celsius,Celsius,Celsius,mm,W/m^2,X,W/m^2,X,W/m^2,X,X,Celsius,X,Celsius,X,Celsius,X,%,X,m^3/m^3,m^3/m^3,m^3/m^3,m^3/m^3,m^3/m^3,Celsius,Celsius,Celsius,Celsius,Celsius
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94082,20170101,100,20161231,1800,2422,-108.97,40.24,-1.4,-1.3,-0.1,-2.5,0.0,0,0,0,0,0,0,C,-9.3,0,-8.2,0,-10.7,0,54,0,-99000,-99000,-99000,-99000,227,-3.7,-3.3,-2.4,0.1,3.5
94082,20170101,200,20161231,1900,2422,-108.97,40.24,-2.5,-3.0,-1.5,-4.1,0.0,0,0,0,0,0,0,C,-11.1,0,-9.7,0,-11.7,0,63,0,-99000,-99000,-99000,-99000,228,-3.9,-3.3,-2.4,0.1,3.5
94082,20170101,300,20161231,2000,2422,-108.97,40.24,-2.5,-2.4,-2.0,-2.8,0.0,0,0,0,0,0,0,C,-11.5,0,-10.6,0,-11.8,0,56,0,-99000,-99000,-99000,-99000,228,-4.1,-3.4,-2.3,0.0,3.5
94082,20170101,400,20161231,2100,2422,-108.97,40.24,-2.7,-2.8,-2.4,-3.2,0.0,0,0,0,0,0,0,C,-11.0,0,-10.0,0,-11.9,0,58,0,-99000,-99000,-99000,-99000,228,-4.4,-3.5,-2.4,0.0,3.5
94082,20170101,500,20161231,2200,2422,-108.97,40.24,-2.9,-2.9,-2.3,-3.3,0.0,0,0,0,0,0,0,C,-11.1,0,-9.8,0,-11.9,0,58,0,-99000,-99000,-99000,-99000,228,-4.6,-3.7,-2.4,0.0,3.5
94082,20170101,600,20161231,2300,2422,-108.97,40.24,-7.0,-5.9,-2.9,-7.8,0.0,0,0,0,0,0,0,C,-11.4,0,-9.5,0,-12.8,0,73,0,-99000,-99000,-99000,-99000,228,-4.8,-3.7,-2.4,0.0,3.5
94082,20170101,700,20170101,0,2422,-108.97,40.24,-7.5,-7.3,-6.9,-7.6,0.0,0,0,0,0,0,0,C,-13.1,0,-12.0,0,-13.5,0,82,0,-99000,-99000,-99000,-99000,228,-5.0,-3.9,-2.4,0.0,3.5
94082,20170101,800,20170101,100,2422,-108.97,40.24,-5.9,-6.1,-5.1,-7.5,0.0,0,0,0,0,0,0,C,-11.1,0,-10.6,0,-12.3,0,73,0,-99000,-99000,-99000,-99000,228,-5.1,-4.0,-2.5,0.0,3.5
94082,20170101,900,20170101,200,2422,-108.97,40.24,-6.3,-6.2,-5.3,-6.8,0.0,0,0,0,0,0,0,C,-13.3,0,-12.3,0,-13.7,0,74,0,-99000,-99000,-99000,-99000,226,-5.3,-4.1,-2.5,0.0,3.5
